band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_B,"1/2"" steel",3,129.2,8.372,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",4,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",5,129.3,8.378,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",6,129.0,8.359,33.9,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",7,129.0,8.359,34.1,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",8,129.2,8.372,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",9,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",10,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",11,129.2,8.372,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",12,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",13,129.2,8.372,33.9,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",14,129.0,8.359,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",15,129.2,8.372,34.0,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",16,129.2,8.372,33.9,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",17,129.0,8.359,33.9,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",18,129.2,8.372,33.9,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",19,129.2,8.372,33.8,0.800,0.267,2.10,20.593965,
band_B,"1/2"" steel",20,129.2,8.372,33.8,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,1,108.2,7.011,36.2,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,2,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,3,108.2,7.011,36.6,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,4,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
